time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,node_ids
44.9,0.3000000119209289,154.0,24.39996337890625,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.016423812136054,0.0148442536592483,0.0122655555605888,0.1144376299716532,0.0489336164714768,-9.810677107572555,1188161.0
45.11,0.3000000119209289,154.0,24.3974609375,1.4790298938751218,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0112773869186639,-0.0107331331819295,0.0008885072311386,0.1369380995258689,0.0570834153983742,-9.794357528686524,1188161.0
45.2,0.3000000119209289,154.0,24.411231994628903,1.4790298938751218,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.017442425712943,0.0260042659938335,-0.0176646765321493,0.0931680998113006,0.0432208228250965,-9.806467697024344,1188161.0
45.4,0.3000000119209289,155.0,24.404972076416016,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0112068550661206,-0.0055080018937587,-0.0019828719086945,0.1335520865768194,0.0670384279545396,-9.794134749770166,1188161.0
45.5,0.3000000119209289,154.0,24.408727645874023,1.439271092414856,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0116821825504302,-0.0067996834404766,0.0022362624295055,0.120074720447883,0.0787013665214181,-9.810038591623304,1188161.0
45.7,0.3000000119209289,153.0,24.40998077392578,1.4313193559646606,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0122345462441444,0.0050425576046109,0.0082203624770045,0.1238467135839164,0.0516407311381772,-9.791944382786747,1188161.0
45.8,0.3000000119209289,153.0,24.398712158203125,1.4313193559646606,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.001242866856046,0.012959798797965,0.0083725862205028,0.1300419116578996,0.048467068048194,-9.80023164153099,1188161.0
46.0,0.3000000119209289,151.0,24.4074764251709,1.4233675003051758,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0147982714697718,0.017672099173069,-0.0165403336286544,0.1093636811804026,0.0794366264808923,-9.79032061100006,1188161.0
46.1,0.3000000119209289,150.0,24.408727645874023,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0143126621842384,-0.0344756953418254,0.0165792983025312,0.1074442138709128,0.0451248772395774,-9.778263067603111,1188161.0
46.31,0.3000000119209289,147.0,24.398712158203125,1.455174684524536,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0281407050788402,0.0185483377426862,-0.0059574772603809,0.125424539046362,0.1106999709550291,-9.8102607858181,1188161.0
46.4,0.3000000119209289,146.0,24.39495658874512,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0350263081490993,0.0089874668046832,-0.0088540203869342,0.1472733638249337,0.0654495430318638,-9.796346166729927,1188161.0
46.6,0.3000000119209289,142.0,24.40121650695801,1.4074640274047852,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0110703464597463,0.0084232920780777,0.0206703729927539,0.0886673974245786,0.0662531286198645,-9.81396090388298,1188161.0
46.7,0.3000000119209289,141.0,24.4074764251709,1.4472228288650513,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0109601067379117,0.02203319221735,-0.0064223227091133,0.1488093725591898,0.0858636027015745,-9.791658453941343,1188161.0
46.9,0.3000000119209289,136.0,24.3974609375,1.4233675003051758,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,-0.0057340851053595,-7.697978435317054e-05,-0.0066241538152098,0.0839518464077264,0.092866575345397,-9.819859575033188,1188161.0
47.01,0.3000000119209289,134.0,24.411231994628903,1.4631264209747314,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0259420033544302,0.0118904374539852,-0.0026723176706582,0.1626344561576843,0.0401197794126346,-9.78947334945202,1188161.0
